group_key,n_configs,param_3_values,pairs_total,pairs_both_mono,pairs_area_only,pairs_lat_only,pairs_neither,pct_both_mono
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'block', '8', '4', '13', 'off', 'off', 'on')",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'block', '8', '4', '13', 'off', 'on', 'off')",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'block', '8', '4', '13', 'off', 'on', 'on')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'block', '8', '4', '13', 'off', nan, nan)",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'block', '8', '4', '13', 'on', 'off', 'off')",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'block', '8', '4', '13', 'on', 'off', 'on')",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'block', '8', '4', '13', 'on', 'on', 'off')",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'block', '8', '4', '13', 'on', 'on', 'on')",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'block', '8', '4', '13', 'on', nan, nan)",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'block', '8', '8', '1', 'off', 'off', 'off')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'block', '8', '8', '1', 'off', 'off', 'on')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'block', '8', '8', '1', 'off', 'on', 'off')",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'block', '8', '8', '1', 'off', 'on', 'on')",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'block', '8', '8', '1', 'off', nan, nan)",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'block', '8', '8', '1', 'on', 'off', 'off')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'block', '8', '8', '1', 'on', 'off', 'on')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'block', '8', '8', '1', 'on', 'on', 'off')",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'block', '8', '8', '1', 'on', 'on', 'on')",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'block', '8', '8', '1', 'on', nan, nan)",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'block', '8', '8', '13', 'off', 'off', 'off')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'block', '8', '8', '13', 'off', 'off', 'on')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'block', '8', '8', '13', 'off', 'on', 'off')",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'block', '8', '8', '13', 'off', 'on', 'on')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'block', '8', '8', '13', 'off', nan, nan)",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'block', '8', '8', '13', 'on', 'off', 'off')",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'block', '8', '8', '13', 'on', 'off', 'on')",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'block', '8', '8', '13', 'on', 'on', 'off')",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'block', '8', '8', '13', 'on', 'on', 'on')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'block', '8', '8', '13', 'on', nan, nan)",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '1', '1', 'off', 'off', 'off')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '1', '1', 'off', 'off', 'on')",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '1', '1', 'off', 'on', 'off')",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '1', '1', 'off', 'on', 'on')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '1', '1', 'off', nan, nan)",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '1', '1', 'on', 'off', 'off')",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '1', '1', 'on', 'off', 'on')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '1', '1', 'on', 'on', 'off')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '1', '1', 'on', 'on', 'on')",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '1', '1', 'on', nan, nan)",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '1', '13', 'off', 'off', 'off')",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '1', '13', 'off', 'off', 'on')",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '1', '13', 'off', 'on', 'off')",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '1', '13', 'off', 'on', 'on')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '1', '13', 'off', nan, nan)",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '1', '13', 'on', 'off', 'off')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '1', '13', 'on', 'off', 'on')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '1', '13', 'on', 'on', 'off')",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '1', '13', 'on', 'on', 'on')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '1', '13', 'on', nan, nan)",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '2', '1', 'off', 'off', 'off')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '2', '1', 'off', 'off', 'on')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '2', '1', 'off', 'on', 'off')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '2', '1', 'off', 'on', 'on')",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '2', '1', 'off', nan, nan)",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '2', '1', 'on', 'off', 'off')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '2', '1', 'on', 'off', 'on')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '2', '1', 'on', 'on', 'off')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '2', '1', 'on', 'on', 'on')",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '2', '1', 'on', nan, nan)",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '2', '13', 'off', 'off', 'off')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '2', '13', 'off', 'off', 'on')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '2', '13', 'off', 'on', 'off')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '2', '13', 'off', 'on', 'on')",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '2', '13', 'off', nan, nan)",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '2', '13', 'on', 'off', 'off')",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '2', '13', 'on', 'off', 'on')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '2', '13', 'on', 'on', 'off')",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '2', '13', 'on', 'on', 'on')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '2', '13', 'on', nan, nan)",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '4', '1', 'off', 'off', 'off')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '4', '1', 'off', 'off', 'on')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '4', '1', 'off', 'on', 'off')",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '4', '1', 'off', 'on', 'on')",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '4', '1', 'off', nan, nan)",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '4', '1', 'on', 'off', 'off')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '4', '1', 'on', 'off', 'on')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '4', '1', 'on', 'on', 'off')",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '4', '1', 'on', 'on', 'on')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '4', '1', 'on', nan, nan)",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '4', '13', 'off', 'off', 'off')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '4', '13', 'off', 'off', 'on')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '4', '13', 'off', 'on', 'off')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '4', '13', 'off', 'on', 'on')",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '4', '13', 'off', nan, nan)",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '4', '13', 'on', 'off', 'off')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '4', '13', 'on', 'off', 'on')",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '4', '13', 'on', 'on', 'off')",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '4', '13', 'on', 'on', 'on')",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '4', '13', 'on', nan, nan)",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '8', '1', 'off', 'off', 'off')",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '8', '1', 'off', 'off', 'on')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '8', '1', 'off', 'on', 'off')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '8', '1', 'off', 'on', 'on')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '8', '1', 'off', nan, nan)",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '8', '1', 'on', 'off', 'off')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '8', '1', 'on', 'off', 'on')",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '8', '1', 'on', 'on', 'off')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '8', '1', 'on', 'on', 'on')",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '8', '1', 'on', nan, nan)",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '8', '13', 'off', 'off', 'off')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '8', '13', 'off', 'off', 'on')",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '8', '13', 'off', 'on', 'off')",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '8', '13', 'off', 'on', 'on')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '8', '13', 'off', nan, nan)",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '8', '13', 'on', 'off', 'off')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '8', '13', 'on', 'off', 'on')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '8', '13', 'on', 'on', 'off')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '8', '13', 'on', 'on', 'on')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '1', '8', '13', 'on', nan, nan)",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '16', '1', '1', 'off', 'off', 'off')",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '16', '1', '1', 'off', 'off', 'on')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '16', '1', '1', 'off', 'on', 'off')",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '16', '1', '1', 'off', 'on', 'on')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '16', '1', '1', 'off', nan, nan)",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '16', '1', '1', 'on', 'off', 'off')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '16', '1', '1', 'on', 'off', 'on')",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '16', '1', '1', 'on', 'on', 'off')",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '16', '1', '1', 'on', 'on', 'on')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '16', '1', '1', 'on', nan, nan)",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '16', '1', '13', 'off', 'off', 'off')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '16', '1', '13', 'off', 'off', 'on')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '16', '1', '13', 'off', 'on', 'off')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '16', '1', '13', 'off', 'on', 'on')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '16', '1', '13', 'off', nan, nan)",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '16', '1', '13', 'on', 'off', 'off')",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '16', '1', '13', 'on', 'off', 'on')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '16', '1', '13', 'on', 'on', 'off')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '16', '1', '13', 'on', 'on', 'on')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '16', '1', '13', 'on', nan, nan)",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '16', '2', '1', 'off', 'off', 'off')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '16', '2', '1', 'off', 'off', 'on')",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '16', '2', '1', 'off', 'on', 'off')",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '16', '2', '1', 'off', 'on', 'on')",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '16', '2', '1', 'off', nan, nan)",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '16', '2', '1', 'on', 'off', 'off')",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '16', '2', '1', 'on', 'off', 'on')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '16', '2', '1', 'on', 'on', 'off')",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '16', '2', '1', 'on', 'on', 'on')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '16', '2', '1', 'on', nan, nan)",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '16', '2', '13', 'off', 'off', 'off')",2,"[2.0, 4.0]",1,1,0,0,0,100.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '16', '2', '13', 'off', 'off', 'on')",2,"[2.0, 4.0]",1,0,0,1,0,0.0
"('RAM_1P_BRAM', 'RAM_2P_BRAM', 'RAM_1P_BRAM', 'cyclic', '16', '2', '13', 'off', 'on', 'off')",2,"[2.0, 4.0]",1,1,0,0,0,100.0
